# SYSID BEGIN dir=0 duty=0.600 samples=1000 dt=0.001 vbat=7.89
# enc[0]	enc[1]	gyro.z	accel.y	angular_accel	u.tra	u.rot	vbat
0.0000	0.0000	-0.001000	-10.7900	1.0600	0.600	0.000	7.89
0.0000	0.0000	0.000100	-10.7900	1.0600	0.600	0.000	7.89
0.0000	0.0000	0.000100	-10.7900	0.0000	0.600	0.000	7.89
0.0000	0.0000	0.002200	-10.7900	2.1300	0.600	0.000	7.89
0.0000	0.0000	0.005400	-10.7900	3.1900	0.600	0.000	7.89
0.0400	0.0000	0.005400	-10.7900	0.0000	0.600	0.000	7.89
0.1000	0.0000	0.001100	-10.7900	-4.2600	0.600	0.000	7.89
0.1400	0.0000	-0.010600	140.6400	-11.7100	0.600	0.000	7.89
0.1800	0.0000	-0.037200	140.6400	-26.6100	0.600	0.000	7.89
0.2000	0.0000	-0.084000	140.6400	-46.8300	0.600	0.000	7.89
0.2200	0.0000	-0.130800	140.6400	-46.8300	0.600	0.000	7.89
0.2400	0.0200	-0.130800	140.6400	0.0000	0.600	0.000	7.89
0.2600	0.0400	-0.151100	140.6400	-20.2200	0.600	0.000	7.89
0.3000	0.0800	-0.124500	140.6400	26.6100	0.600	0.000	7.89
0.3200	0.1000	-0.059500	140.6400	64.9200	0.600	0.000	7.89
0.3600	0.1200	0.000100	140.6400	59.6000	0.600	0.000	7.89
0.4000	0.1400	0.007500	1954.8500	7.4500	0.600	0.000	7.89
0.4200	0.1600	0.007500	1954.8500	0.0000	0.600	0.000	7.89
0.4400	0.1800	-0.036100	1954.8500	-43.6300	0.600	0.000	7.89
0.4600	0.1800	-0.088300	1954.8500	-52.1500	0.600	0.000	7.89
0.4800	0.2000	-0.113800	1954.8500	-25.5400	0.600	0.000	7.89
0.5000	0.2200	-0.102100	1954.8500	11.7100	0.600	0.000	7.89
0.5200	0.2400	-0.064900	1954.8500	37.2500	0.600	0.000	7.89
0.5400	0.2800	-0.064900	1954.8500	0.0000	0.600	0.000	7.89
0.5600	0.3000	-0.024400	1954.8500	40.4400	0.600	0.000	7.89
0.6000	0.3400	0.004300	1954.8500	28.7300	0.600	0.000	7.89
0.6200	0.3800	0.022400	900.8000	18.0900	0.600	0.000	7.89
0.6400	0.4200	0.038400	900.8000	15.9600	0.600	0.000	7.89
0.6800	0.4400	0.060700	900.8000	22.3500	0.600	0.000	7.89
0.7000	0.4800	0.060700	900.8000	0.0000	0.600	0.000	7.89
0.7400	0.5200	0.086300	900.8000	25.5400	0.600	0.000	7.89
0.7800	0.5600	0.107500	900.8000	21.2800	0.600	0.000	7.89
0.8000	0.6000	0.118200	900.8000	10.6400	0.600	0.000	7.89
0.8400	0.6600	0.129900	900.8000	11.7100	0.600	0.000	7.89
0.8800	0.7000	0.129900	900.8000	0.0000	0.600	0.000	7.89
0.9200	0.7600	0.148000	900.8000	18.0900	0.600	0.000	7.89
0.9600	0.8000	0.173500	1101.9100	25.5400	0.600	0.000	7.89
1.0000	0.8600	0.196900	1101.9100	23.4100	0.600	0.000	7.89
1.0400	0.9200	0.216100	1101.9100	19.1600	0.600	0.000	7.89
1.0800	0.9800	0.232100	1101.9100	15.9600	0.600	0.000	7.89
1.1200	1.0400	0.232100	1101.9100	0.0000	0.600	0.000	7.89
1.1600	1.1000	0.251200	1101.9100	19.1600	0.600	0.000	7.89
1.2000	1.1600	0.273600	1101.9100	22.3500	0.600	0.000	7.89
1.2400	1.2200	0.294800	1101.9100	21.2800	0.600	0.000	7.89
1.2800	1.2800	0.311900	1101.9100	17.0300	0.600	0.000	7.89
1.3200	1.3400	0.324600	858.9000	12.7700	0.600	0.000	7.89
1.3600	1.4000	0.324600	858.9000	0.0000	0.600	0.000	7.89
1.4000	1.4800	0.330000	858.9000	5.3200	0.600	0.000	7.89
1.4400	1.5600	0.333200	858.9000	3.1900	0.600	0.000	7.89
1.4800	1.6200	0.342700	858.9000	9.5800	0.600	0.000	7.89
1.5200	1.7000	0.366200	858.9000	23.4100	0.600	0.000	7.89
1.5600	1.7700	0.392800	858.9000	26.6100	0.600	0.000	7.89
1.6200	1.8300	0.392800	858.9000	0.0000	0.600	0.000	7.89
1.6600	1.9100	0.405500	858.9000	12.7700	0.600	0.000	7.89
1.7000	1.9700	0.401300	858.9000	-4.2600	0.600	0.000	7.89
1.7500	2.0500	0.385300	708.6700	-15.9600	0.600	0.000	7.89
1.8100	2.1300	0.368300	708.6700	-17.0300	0.600	0.000	7.89
1.8700	2.2100	0.355500	708.6700	-12.7700	0.600	0.000	7.89
