# SYSID BEGIN dir=0 duty=0.300 samples=1000 dt=0.001 vbat=7.63
# enc[0]	enc[1]	gyro.z	accel.y	angular_accel	u.tra	u.rot	vbat
0.0200	0.0000	0.001900	-48.2400	-1.0600	0.300	0.000	7.63
0.0200	0.0000	0.000800	-50.0300	-1.0600	0.300	0.000	7.63
0.0200	0.0000	-0.000200	-50.0300	-1.0600	0.300	0.000	7.63
0.0200	0.0000	0.000800	-50.0300	1.0600	0.300	0.000	7.63
0.0600	0.0600	-0.000200	-50.0300	-1.0600	0.300	0.000	7.63
0.2000	0.2000	-0.000200	-50.0300	0.0000	0.300	0.000	7.63
0.3800	0.3800	-0.030000	-50.0300	-29.8000	0.300	0.000	7.63
0.5400	0.5800	-0.032100	-50.0300	-2.1300	0.300	0.000	7.63
0.7200	0.7600	0.036000	-50.0300	68.1100	0.300	0.000	7.63
0.8800	0.9000	0.090200	-50.0300	54.2800	0.300	0.000	7.63
1.0400	1.0000	0.124300	4577.9600	34.0600	0.300	0.000	7.63
1.1800	1.0800	0.124300	4577.9600	0.0000	0.300	0.000	7.63
1.3200	1.1400	0.152000	4577.9600	27.6700	0.300	0.000	7.63
1.4600	1.2400	0.173300	4577.9600	21.2800	0.300	0.000	7.63
1.6000	1.3600	0.173300	4577.9600	0.0000	0.300	0.000	7.63
1.7500	1.4800	0.119000	4577.9600	-54.2800	0.300	0.000	7.63
1.8900	1.6200	0.009400	4577.9600	-109.6200	0.300	0.000	7.63
2.0500	1.7700	0.009400	4577.9600	0.0000	0.300	0.000	7.63
2.2300	1.9500	-0.126900	4577.9600	-136.2200	0.300	0.000	7.63
2.4100	2.1300	-0.207700	4577.9600	-80.8800	0.300	0.000	7.63
2.6300	2.3100	-0.189600	10134.3000	18.0900	0.300	0.000	7.63
2.8500	2.5100	-0.121500	10134.3000	68.1100	0.300	0.000	7.63
3.0700	2.7100	-0.079000	10134.3000	42.5700	0.300	0.000	7.63
3.3100	2.9100	-0.079000	10134.3000	0.0000	0.300	0.000	7.63
3.5700	3.1300	-0.064100	10134.3000	14.9000	0.300	0.000	7.63
3.8300	3.3500	-0.054500	10134.3000	9.5800	0.300	0.000	7.63
4.0900	3.5900	-0.058700	10134.3000	-4.2600	0.300	0.000	7.63
4.3700	3.8300	-0.074700	10134.3000	-15.9600	0.300	0.000	7.63
4.6500	4.0900	-0.079000	10134.3000	-4.2600	0.300	0.000	7.63
4.9300	4.3500	-0.079000	10134.3000	0.0000	0.300	0.000	7.63
5.2000	4.6100	-0.088500	7539.5900	-9.5800	0.300	0.000	7.63
5.4600	4.8500	-0.124700	7539.5900	-36.1800	0.300	0.000	7.63
5.7400	5.1100	-0.162000	7539.5900	-37.2500	0.300	0.000	7.63
6.0200	5.3400	-0.163000	7539.5900	-1.0600	0.300	0.000	7.63
6.3200	5.6200	-0.139600	7539.5900	23.4100	0.300	0.000	7.63
6.6400	5.9200	-0.139600	7539.5900	0.0000	0.300	0.000	7.63
6.9600	6.2600	-0.129000	7539.5900	10.6400	0.300	0.000	7.63
7.2800	6.6000	-0.132200	7539.5900	-3.1900	0.300	0.000	7.63
7.6200	6.9200	-0.120500	7539.5900	11.7100	0.300	0.000	7.63
7.9600	7.2400	-0.085400	7686.8300	35.1200	0.300	0.000	7.63
8.3200	7.5800	-0.039600	7686.8300	45.7600	0.300	0.000	7.63
8.6500	7.9400	-0.039600	7686.8300	0.0000	0.300	0.000	7.63
9.0100	8.3400	-0.009800	7686.8300	29.8000	0.300	0.000	7.63
9.3700	8.7100	-0.003400	7686.8300	6.3900	0.300	0.000	7.63
9.7700	9.1100	-0.024700	7686.8300	-21.2800	0.300	0.000	7.63
10.1900	9.5100	-0.075800	7686.8300	-51.0800	0.300	0.000	7.63
10.5900	9.9300	-0.075800	7686.8300	0.0000	0.300	0.000	7.63
10.9900	10.3700	-0.101300	7686.8300	-25.5400	0.300	0.000	7.63
11.3700	10.8100	-0.091700	7686.8300	9.5800	0.300	0.000	7.63
11.7900	11.2700	-0.098100	7001.4900	-6.3900	0.300	0.000	7.63
12.2200	11.7500	-0.120500	7001.4900	-22.3500	0.300	0.000	7.63
12.6600	12.2200	-0.103400	7001.4900	17.0300	0.300	0.000	7.63
13.1200	12.7000	-0.103400	7001.4900	0.0000	0.300	0.000	7.63
