# SYSID BEGIN dir=0 duty=0.250 samples=1000 dt=0.001 vbat=7.40
# enc[0]	enc[1]	gyro.z	accel.y	angular_accel	u.tra	u.rot	vbat
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
0	0	0.0000	0.0000	0.0000	0.250	0.000	7.40
1	1	0.0000	0.0000	0.0000	0.250	0.000	7.40
1	1	0.0000	0.0000	0.0000	0.250	0.000	7.40
1	1	0.0000	0.0000	0.0000	0.250	0.000	7.40
1	1	0.0000	0.0000	0.0000	0.250	0.000	7.40
2	2	0.0000	0.0000	0.0000	0.250	0.000	7.40
2	2	0.0000	0.0000	0.0000	0.250	0.000	7.40
2	2	0.0000	0.0000	0.0000	0.250	0.000	7.40
2	2	0.0000	0.0000	0.0000	0.250	0.000	7.40
3	3	0.0000	0.0000	0.0000	0.250	0.000	7.40
3	3	0.0000	0.0000	0.0000	0.250	0.000	7.40
4	4	0.0000	0.0000	0.0000	0.250	0.000	7.40
4	4	0.0000	0.0000	0.0000	0.250	0.000	7.40
4	4	0.0000	0.0000	0.0000	0.250	0.000	7.40
5	5	0.0000	0.0000	0.0000	0.250	0.000	7.40
5	5	0.0000	0.0000	0.0000	0.250	0.000	7.40
6	6	0.0000	0.0000	0.0000	0.250	0.000	7.40
6	6	0.0000	0.0000	0.0000	0.250	0.000	7.40
7	7	0.0000	0.0000	0.0000	0.250	0.000	7.40
7	7	0.0000	0.0000	0.0000	0.250	0.000	7.40
8	8	0.0000	0.0000	0.0000	0.250	0.000	7.40
8	8	0.0000	0.0000	0.0000	0.250	0.000	7.40
9	9	0.0000	0.0000	0.0000	0.250	0.000	7.40
9	9	0.0000	0.0000	0.0000	0.250	0.000	7.40
10	10	0.0000	0.0000	0.0000	0.250	0.000	7.40
10	10	0.0000	0.0000	0.0000	0.250	0.000	7.40
11	11	0.0000	0.0000	0.0000	0.250	0.000	7.40
12	12	0.0000	0.0000	0.0000	0.250	0.000	7.40
12	12	0.0000	0.0000	0.0000	0.250	0.000	7.40
13	13	0.0000	0.0000	0.0000	0.250	0.000	7.40
14	14	0.0000	0.0000	0.0000	0.250	0.000	7.40
14	14	0.0000	0.0000	0.0000	0.250	0.000	7.40
15	15	0.0000	0.0000	0.0000	0.250	0.000	7.40
16	16	0.0000	0.0000	0.0000	0.250	0.000	7.40
17	17	0.0000	0.0000	0.0000	0.250	0.000	7.40
17	17	0.0000	0.0000	0.0000	0.250	0.000	7.40
18	18	0.0000	0.0000	0.0000	0.250	0.000	7.40
19	19	0.0000	0.0000	0.0000	0.250	0.000	7.40
20	20	0.0000	0.0000	0.0000	0.250	0.000	7.40
21	21	0.0000	0.0000	0.0000	0.250	0.000	7.40
22	22	0.0000	0.0000	0.0000	0.250	0.000	7.40
22	22	0.0000	0.0000	0.0000	0.250	0.000	7.40
23	23	0.0000	0.0000	0.0000	0.250	0.000	7.40
24	24	0.0000	0.0000	0.0000	0.250	0.000	7.40
25	25	0.0000	0.0000	0.0000	0.250	0.000	7.40
26	26	0.0000	0.0000	0.0000	0.250	0.000	7.40
27	27	0.0000	0.0000	0.0000	0.250	0.000	7.40
28	28	0.0000	0.0000	0.0000	0.250	0.000	7.40
